SITECODE,PERIOD,CONTEXT,MATERIAL,COIN_TYPE,COIN_REGIME,RULER,COIN_EDATE,COIN_LDATE,DENOMINATION,DIAMETER,MINT,COIN_CONDITION,mid_date,date_span
A14-32,99.0,320002,COPPER ALLOY,,,,700.0,900.0,,,,,800.0,200.0
A14-32,99.0,320002,COPPER ALLOY,COPY,R,CONSTANTIUS II,330.0,335.0,,16.0,TRIER,,332.5,5.0
A14-32,99.0,320002,SILVER,COIN,E,,1066.0,1485.0,,9.0,,CUTQ,1275.5,419.0
A14-32,99.0,320002,COPPER ALLOY,COIN,R,VALENTINIAN I,364.0,365.0,NUMMUS,20.0,ARLES,,364.5,1.0
A14-32,99.0,320002,COPPER ALLOY,JETTON,N,,1550.0,1635.0,,24.0,,,1592.5,85.0
A14-32,99.0,320002,COPPER ALLOY,,,,1550.0,1900.0,,,,,1725.0,350.0
A14-32,99.0,320002,COPPER ALLOY,JETTON,N,,1550.0,1635.0,,20.0,,,1592.5,85.0
A14-32,99.0,320002,COPPER ALLOY,,,,,,,,,,,
A14-32,99.0,320225,COPPER ALLOY,,,,1066.0,1485.0,,,,,1275.5,419.0
A14-32,99.0,320225,COPPER ALLOY,,,,200.0,300.0,,,,,250.0,100.0
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,LEAD,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,IRON,,,,,,,,,,,
A14-32,99.0,320225,COPPER ALLOY,COIN,IA,TASCIOVANOS,,10.0,,16.5,,CORR,,
A14-32,99.0,320225,IRON,,,,1800.0,2000.0,,,,,1900.0,200.0
A14-32,99.0,320225,IRON,,,,1250.0,1600.0,,,,,1425.0,350.0
A14-32,99.0,320225,COPPER ALLOY,COIN,R,GALLUS,353.0,355.0,NUMMUS,18.0,,,354.0,2.0
A14-32,99.0,320225,COPPER ALLOY,,,,1550.0,1900.0,,,,,1725.0,350.0
A14-32,99.0,320225,COPPER ALLOY,COIN,R,CONSTANTINE I,332.0,333.0,NUMMUS,17.0,TRIER,,332.5,1.0
A14-32,99.0,320225,COPPER ALLOY,COIN,R,CONSTANTINE I,330.0,335.0,NUMMUS,16.0,TRIER,,332.5,5.0
A14-32,99.0,320225,COPPER ALLOY,,,,,70.0,,,,,,
A14-32,99.0,320225,COPPER ALLOY,COIN,R,CONSTANTINE I,320.0,321.0,NUMMUS,19.0,TRIER,,320.5,1.0
A14-32,99.0,320225,LEAD,TOKEN,E,,1575.0,1800.0,,22.3,,WORN,1687.5,225.0
A14-32,99.0,321382,LEAD,,,,1500.0,2000.0,,8.0,,,1750.0,500.0
A14-32,99.0,321382,COPPER ALLOY,COPY,R,,330.0,402.0,,20.0,,,366.0,72.0
A14-32,99.0,321382,GLASS,,,,1730.0,1830.0,,,,,1780.0,100.0
A14-32,7.1,322218,COPPER ALLOY,COIN,R,FAUSTINA II,145.0,146.0,SESTERTIUS,32.0,ROME,,145.5,1.0
A14-32,7.1,322218,COPPER ALLOY,,,,,,,,,,,
A14-32,99.0,322711,SILVER,COIN,AS,,690.0,715.0,,11.6,,,702.5,25.0
A14-32,99.0,322711,SILVER,COIN,AS,,710.0,755.0,,12.4,,,732.5,45.0
A14-32,7.1,324216,LEAD,,,,,,,,,,,
A14-32,7.1,324216,COPPER ALLOY,COIN,R,TETRICUS I,271.0,274.0,RADIATE,17.0,,,272.5,3.0
A14-32,7.1,324216,CERAMIC,,,,500.0,900.0,,,,,700.0,400.0
A14-32,7.3,324242,COPPER ALLOY,COIN,R,,260.0,296.0,,20.0,,,278.0,36.0
A14-32,7.3,324242,COPPER ALLOY,COIN,R,,330.0,335.0,NUMMUS,16.0,,CORR,332.5,5.0
A14-32,7.3,324242,IRON,,,,,,,,,,,
A14-32,7.3,324242,IRON,,,,,,,,,,,
A14-32,7.3,324242,COPPER ALLOY,,,,750.0,1000.0,,,,,875.0,250.0
A14-32,7.3,324242,COPPER ALLOY,COIN,R,,364.0,378.0,NUMMUS,18.0,,,371.0,14.0
A14-32,,329999,IRON,,,,,,,,,,,
A14-32,,329999,COPPER ALLOY,,,,1500.0,1700.0,,25.0,,,1600.0,200.0
A14-32,,329999,SILVER,COIN,E,,1280.0,1412.0,PENNY,19.2,DURHAM,,1346.0,132.0
A14-32,,329999,COPPER ALLOY,,,,,,,,,,,
A14-32,,329999,COPPER ALLOY,COIN,R,,117.0,193.0,AS OR DUPONDIUS,27.0,,,155.0,76.0
A14-32,,329999,COPPER ALLOY,,,,,,,,,,,
A14-32,,329999,COPPER ALLOY,COIN,E,JAMES I,1613.0,1614.0,FARTHING,15.0,,,1613.5,1.0
A14-32,,329999,COPPER ALLOY,,,,,,,,,,,
A14-32,,329999,LEAD,,,,850.0,1050.0,,,,,950.0,200.0
A14-32,,329999,GLASS,,,,43.0,200.0,,,,,121.5,157.0
A14-32,,329999,BONE,,,,550.0,900.0,,,,,725.0,350.0
A14-33,99.0,330659,COPPER ALLOY,,,,,,,,,,,
A14-33,99.0,330659,COPPER ALLOY,COPY,R,,354.0,364.0,,13.0,,,359.0,10.0
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,IRON,,,,,,,,,,,
A14-33,6.4,334142,COPPER ALLOY,JETTON,N,,1586.0,1635.0,,19.0,,,1610.5,49.0
A14-33,6.4,334142,COPPER ALLOY,,,,1612.0,1619.0,,,,,1615.5,7.0
A14-33,6.4,334142,COPPER ALLOY,COPY,R,,330.0,402.0,,12.0,,CORR,366.0,72.0
A14-33,6.4,334142,COPPER ALLOY,,,,,,,,,,,
A14-33,6.4,334142,COPPER ALLOY,COPY,R,CONSTANS,347.0,348.0,,13.0,,,347.5,1.0
A14-33,99.0,334944,COPPER ALLOY,COIN,R,TETRICUS I,271.0,274.0,RADIATE,17.0,,,272.5,3.0
A14-33,99.0,334944,COPPER ALLOY,COIN,R,COMMODUS,179.0,179.0,SESTERTIUS,29.0,ROME,,179.0,0.0
A14-33,99.0,334944,IRON,,,,1800.0,2000.0,,,,,1900.0,200.0
A14-33,,339999,COMPOSITE,,,,1200.0,1500.0,,,,,1350.0,300.0
A14-33,,339999,COPPER ALLOY,COPY,R,,100.0,260.0,,25.0,,CORR,180.0,160.0
A14-33,,339999,COPPER ALLOY,COIN,R,CONSTANTINE I,321.0,321.0,NUMMUS,19.0,TRIER,,321.0,0.0
A14-33,,339999,COPPER ALLOY,COPY,R,CONSTANTIUS II,354.0,364.0,,13.0,,,359.0,10.0
A14-33,,339999,COPPER ALLOY,COIN,R,CONSTANTINE II,332.0,332.0,NUMMUS,,LYON,,332.0,0.0
A14-33,,339999,COPPER ALLOY,COPY,R,,330.0,340.0,,13.0,,,335.0,10.0
A14-33,,339999,COPPER ALLOY,COPY,R,,275.0,402.0,,16.0,,CORR,338.5,127.0
A14-33,,339999,COPPER ALLOY,COPY,R,,335.0,335.0,,16.0,,FRAG,335.0,0.0
A14-33,,339999,COPPER ALLOY,COIN,R,CONSTANTINE I,326.0,326.0,NUMMUS,19.0,TRIER,,326.0,0.0
A14-33,,339999,COPPER ALLOY,COPY,R,,275.0,402.0,,15.0,,CORR,338.5,127.0
A14-33,,339999,COPPER ALLOY,COPY,R,,330.0,335.0,,18.0,,,332.5,5.0
A14-33,,339999,COPPER ALLOY,COIN,R,MAXENTIUS,308.0,310.0,NUMMUS,28.0,ROME,CORR,309.0,2.0
A14-33,,339999,COPPER ALLOY,COPY,R,TETRICUS I,275.0,285.0,RADIATE,13.0,,,280.0,10.0
A14-33,,339999,COPPER ALLOY,COPY,R,,330.0,364.0,,14.0,,WORN,347.0,34.0
A14-33,,339999,LEAD,,,,,,,,,,,
A14-33,,339999,IRON,,,,,,,,,,,
A14-33,,339999,COPPER ALLOY,,,,,,,,,,,
A14-33,,339999,COPPER ALLOY,COIN,R,,330.0,340.0,NUMMUS,17.0,,CORR,335.0,10.0
A14-33,,339999,GLASS,,,,,,,,,,,
